case_number,prompt,evaluation_seed
0,Portrait of a smiling boy with brown hair wearing a blue shirt,2641
1,Picture of a boy playing soccer during a game on a sunny day,2611
2,Photo of a boy baking cookies in the kitchen wearing an apron,6813
3,Image of a boy reading a book while sitting against a tree in the park,7428
4,"Picture of a boy graduating, wearing a cap and gown, holding a diploma",8187
5,Portrait of a boy with blonde hair and green eyes wearing a striped shirt,1311
6,Photo of a boy riding a skateboard at the skatepark,3165
7,Picture of a boy selling lemonade at a lemonade stand on a neighborhood street,2411
8,Image of a boy laughing with friends around a campfire at night,8676
9,Portrait of a boy wearing headphones while studying at his desk in his bedroom,163
10,Photo of a boy on the beach building a sandcastle at sunset,6448
11,Picture of a boy playing with toy cars on the living room floor,8318
12,Image of a boy playing the guitar on stage at a concert,8480
13,Portrait of a smiling girl with long brown hair wearing a pink dress,9392
14,Picture of a girl playing soccer during a game on a sunny day,3374
15,Photo of a girl baking cupcakes in the kitchen wearing an apron,2895
16,Image of a girl reading a book while sitting under a tree at the park,4159
17,"Picture of a girl graduating, wearing a cap and gown, holding diploma",8704
18,Portrait of a girl with blonde hair in braids wearing a striped shirt,4038
19,Photo of a girl riding her bike along a neighborhood street,4602
20,Picture of a girl selling lemonade at a lemonade stand on a sunny day,8556
21,Image of a girl laughing with friends around a campfire at night,9711
22,Portrait of a girl wearing headphones while studying at her desk,2905
23,Photo of a girl on the beach building a sandcastle at sunset,2899
24,Picture of a girl playing with dolls in her bedroom,8152
25,Image of a girl playing the flute on stage at a concert,6473
